k,lambda,alpha,fixation,stdDev,sem
4,100,10,0.05,0.2179449471770336,0.02179449471770336
4,100,20,0,0,0
4,100,50,0,0,0
4,100,100,0,0,0
4,100,200,0,0,0
4,100,500,0,0,0
4,200,1.1,0.97,0.17058722109231975,0.017058722109231976
4,200,1.5,0.98,0.13999999999999987,0.013999999999999988
4,200,2,0.95,0.21794494717703367,0.021794494717703367
4,200,5,0.74,0.438634243989226,0.0438634243989226
4,200,10,0.27,0.4439594576084626,0.04439594576084626
4,200,20,0.05,0.2179449471770336,0.02179449471770336
4,200,50,0,0,0
4,200,100,0,0,0
4,200,200,0,0,0
4,200,500,0,0,0
4,500,1.1,0.99,0.09949874371066195,0.009949874371066194
4,500,1.5,0.99,0.09949874371066196,0.009949874371066196
4,500,2,0.93,0.25514701644346166,0.025514701644346167
4,500,5,0.9,0.29999999999999977,0.029999999999999978
4,500,10,0.79,0.40730823708832625,0.040730823708832624
4,500,20,0.5,0.5,0.05
4,500,50,0.06,0.23748684174075804,0.023748684174075805
4,500,100,0,0,0
4,500,200,0,0,0
4,500,500,0,0,0
6,1.1,1.1,0,0,0
6,1.1,1.5,0,0,0
6,1.1,2,0,0,0
6,1.1,5,0,0,0
6,1.1,10,0,0,0
6,1.1,20,0,0,0
6,1.1,50,0,0,0
6,1.1,100,0,0,0
6,1.1,200,0,0,0
6,1.1,500,0,0,0
6,1.5,1.1,0,0,0
6,1.5,1.5,0,0,0
6,1.5,2,0,0,0
6,1.5,5,0,0,0
6,1.5,10,0,0,0
6,1.5,20,0,0,0
6,1.5,50,0,0,0
6,1.5,100,0,0,0
6,1.5,200,0,0,0
6,1.5,500,0,0,0
6,2,1.1,0,0,0
6,2,1.5,0,0,0
6,2,2,0,0,0
6,2,5,0,0,0
6,2,10,0,0,0
6,2,20,0,0,0
6,2,50,0,0,0
6,2,100,0,0,0
6,2,200,0,0,0
6,2,500,0,0,0
6,5,1.1,0,0,0
6,5,1.5,0,0,0
6,5,2,0,0,0
6,5,5,0,0,0
6,5,10,0,0,0
6,5,20,0,0,0
6,5,50,0,0,0
6,5,100,0,0,0
6,5,200,0,0,0
6,5,500,0,0,0
6,10,1.1,0.11,0.3128897569432405,0.03128897569432405
6,10,1.5,0.03,0.1705872210923199,0.01705872210923199
6,10,2,0,0,0
6,10,5,0,0,0
6,10,10,0,0,0
6,10,20,0,0,0
6,10,50,0,0,0
6,10,100,0,0,0
6,10,200,0,0,0
6,10,500,0,0,0
6,20,1.1,0.61,0.48774993593028815,0.048774993593028816
6,20,1.5,0.46,0.49839743177508455,0.04983974317750846
6,20,2,0.21,0.40730823708832625,0.040730823708832624
6,20,5,0,0,0
6,20,10,0,0,0
6,20,20,0,0,0
6,20,50,0,0,0
6,20,100,0,0,0
6,20,200,0,0,0
6,20,500,0,0,0
6,50,1.1,0.96,0.19595917942265412,0.019595917942265412
6,50,1.5,0.93,0.25514701644346166,0.025514701644346167
6,50,2,0.78,0.4142463035441593,0.04142463035441593
6,50,5,0.12,0.32496153618543855,0.032496153618543855
6,50,10,0.02,0.13999999999999985,0.013999999999999985
6,50,20,0,0,0
6,50,50,0,0,0
6,50,100,0,0,0
6,50,200,0,0,0
6,50,500,0,0,0
6,100,1.1,0.99,0.09949874371066196,0.009949874371066196
6,100,1.5,0.98,0.13999999999999985,0.013999999999999985
6,100,2,0.96,0.19595917942265392,0.01959591794226539
6,100,5,0.69,0.46249324319388696,0.0462493243193887
6,100,10,0.18,0.38418745424597134,0.03841874542459713
6,100,20,0,0,0
6,100,50,0,0,0
6,100,100,0,0,0
6,100,200,0,0,0
6,100,500,0,0,0
6,200,1.1,0.97,0.17058722109231977,0.017058722109231976
6,200,1.5,0.97,0.17058722109231975,0.017058722109231976
6,200,2,0.99,0.09949874371066199,0.0099498743710662
6,200,5,0.92,0.27129319932501095,0.027129319932501096
6,200,10,0.67,0.4702127178203497,0.04702127178203497
6,200,20,0.12,0.32496153618543866,0.03249615361854387
6,200,50,0,0,0
6,200,100,0,0,0
6,200,200,0,0,0
6,200,500,0,0,0
6,500,1.1,0.96,0.19595917942265403,0.019595917942265402
6,500,1.5,0.99,0.09949874371066196,0.009949874371066196
6,500,2,0.97,0.17058722109231983,0.017058722109231983
